# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
189; 00189-pano.jpg; 1720147902.966138; -70.096877; 1.716875; 1.253895; -0.231979; 0.047655; -0.001343; 0.971552
190; 00190-pano.jpg; 1720147907.954837; -73.364564; 0.308863; 1.236507; -0.287146; 0.041982; 0.004278; 0.956957
191; 00191-pano.jpg; 1720147912.125671; -75.784711; -0.649868; 1.191143; 0.294094; 0.029168; -0.015090; 0.955212
192; 00192-pano.jpg; 1720147926.242205; -76.128022; 2.868166; 1.291070; 0.582199; -0.026407; -0.011108; 0.812542
193; 00193-pano.jpg; 1720147936.614872; -83.314459; 4.594074; 1.152533; 0.528948; -0.009578; -0.019744; 0.848370
194; 00194-pano.jpg; 1720147942.353657; -85.012800; 8.126711; 1.145858; 0.659107; -0.012350; 0.002602; 0.751943
195; 00195-pano.jpg; 1720147948.323434; -82.558796; 11.377525; 1.237961; 0.977916; -0.006956; -0.027500; 0.207066
196; 00196-pano.jpg; 1720147952.025352; -81.803549; 13.424751; 1.271313; 0.544670; 0.009305; -0.034993; 0.837869
197; 00197-pano.jpg; 1720147956.320197; -83.612918; 15.979176; 1.249897; 0.506176; 0.012415; -0.011674; 0.862262
198; 00198-pano.jpg; 1720147961.411106; -85.657085; 19.554670; 1.202960; 0.513307; 0.027722; -0.015654; 0.857614
199; 00199-pano.jpg; 1720147966.504832; -86.109360; 23.432498; 1.145377; 0.968191; -0.020112; -0.020445; 0.248562
200; 00200-pano.jpg; 1720147971.850677; -82.668657; 23.283176; 1.177675; 0.857981; 0.005008; 0.007458; -0.513603
201; 00201-pano.jpg; 1720147977.987448; -81.759295; 18.230051; 1.286710; 0.980546; -0.030631; -0.002592; 0.193869
202; 00202-pano.jpg; 1720147983.364434; -79.518731; 20.592501; 1.252735; 0.970092; 0.010491; -0.032870; 0.240273
203; 00203-pano.jpg; 1720147988.358094; -75.740233; 22.325534; 1.254406; 0.940185; -0.003505; -0.031514; 0.339186
204; 00204-pano.jpg; 1720147993.515917; -72.672067; 25.076417; 1.245504; 0.983088; -0.012969; -0.020597; 0.181509
205; 00205-pano.jpg; 1720147997.809759; -69.999130; 26.606801; 1.230883; 0.963495; -0.001537; -0.041992; 0.264409
206; 00206-pano.jpg; 1720148003.956580; -66.465077; 25.531744; 1.294036; 0.748936; -0.010551; -0.021319; 0.662216
207; 00207-pano.jpg; 1720148010.217341; -68.380666; 30.503338; 1.236987; 0.658348; 0.012769; -0.030337; 0.751994
208; 00208-pano.jpg; 1720148017.281139; -68.823333; 36.252744; 1.135019; 0.949427; 0.008764; -0.013049; 0.313595
209; 00209-pano.jpg; 1720148022.262920; -65.583142; 38.172679; 1.142219; 0.990189; -0.022184; -0.017617; 0.136832
210; 00210-pano.jpg; 1720148027.676753; -61.822121; 39.797442; 1.129001; 0.976146; -0.005168; -0.014800; 0.216551
211; 00211-pano.jpg; 1720148033.502546; -57.664788; 41.987251; 1.085829; 0.978697; 0.010575; -0.032967; 0.202371
